# 空 / 天候回転
# 狙い: 天候を毎ターン動かしてレゾナンスとドローを回し、回避で受ける。
#       「天象二十変（累計20回の天候変化）」を現実的にするため、天候変更カードを最優先で積む。
# 抜いたもの: ループ・ザ・ループ（自分自身を手札に戻して無限ループする既知の不具合。
#             roadmap 3-0 の判断が出るまで入れない）、
#             ソーラーレイ・リフレイン／天水の祝福（特定の天候に張り付く構成ではないため）
name: 空天候
god: sky
objectives: 無限連鎖, 天象二十変, 連鎖する空

3 クイックチェンジ
3 ウェザーコントロール
3 サンダーテンペスト
2 ウェザートランジション
2 スカイエンハンス
2 チェイスストリーミング
2 アクセラレートゲイル
2 ラピッドバースト（仮）
2 フローレスフェザー
2 リーサリティブリザード
2 セレスティアルディザスター
2 エクストリームベロシティ
1 スウィフトマニューバー
1 明鏡止水
1 レゾナンスリージョン

# 合計 30 枚 / 15 種類
